transaction_id,statement_id,date,amount,description,company_name,branch_name,branch_id,bank_name,user_id,company_id
1,8,2016-01-02,561.75,Transaction 1,Google_India,Delhi,8,ICICI,3,3
2,8,2016-01-19,612.57,Transaction 2,Google_India,Delhi,8,ICICI,3,3
3,8,2016-01-28,-60.37,Transaction 3,Google_India,Delhi,8,ICICI,3,3
4,8,2016-01-13,-514.62,Transaction 4,Google_India,Delhi,8,ICICI,3,3
5,8,2016-01-12,487.2,Transaction 5,Google_India,Delhi,8,ICICI,3,3
6,8,2016-01-31,-197.79,Transaction 6,Google_India,Delhi,8,ICICI,3,3
7,8,2016-01-25,-580.12,Transaction 7,Google_India,Delhi,8,ICICI,3,3
8,8,2016-01-05,-617.49,Transaction 8,Google_India,Delhi,8,ICICI,3,3
9,8,2016-01-22,356.43,Transaction 9,Google_India,Delhi,8,ICICI,3,3
10,8,2016-01-15,762.23,Transaction 10,Google_India,Delhi,8,ICICI,3,3
11,8,2016-01-16,-323.16,Transaction 11,Google_India,Delhi,8,ICICI,3,3
12,8,2016-01-12,20.31,Transaction 12,Google_India,Delhi,8,ICICI,3,3
13,8,2016-01-02,-215.19,Transaction 13,Google_India,Delhi,8,ICICI,3,3
14,8,2016-01-18,-558.54,Transaction 14,Google_India,Delhi,8,ICICI,3,3
15,8,2016-01-04,645.53,Transaction 15,Google_India,Delhi,8,ICICI,3,3
16,8,2016-01-18,-40.32,Transaction 16,Google_India,Delhi,8,ICICI,3,3
17,8,2016-01-24,-827.45,Transaction 17,Google_India,Delhi,8,ICICI,3,3
18,8,2016-01-04,-361.09,Transaction 18,Google_India,Delhi,8,ICICI,3,3
19,8,2016-01-11,911.31,Transaction 19,Google_India,Delhi,8,ICICI,3,3
20,8,2016-01-07,-748.52,Transaction 20,Google_India,Delhi,8,ICICI,3,3
21,8,2016-01-12,705.98,Transaction 21,Google_India,Delhi,8,ICICI,3,3
22,8,2016-01-11,658.59,Transaction 22,Google_India,Delhi,8,ICICI,3,3
23,8,2016-01-22,285.88,Transaction 23,Google_India,Delhi,8,ICICI,3,3
24,8,2016-01-09,-917.38,Transaction 24,Google_India,Delhi,8,ICICI,3,3
25,8,2016-01-13,-680.59,Transaction 25,Google_India,Delhi,8,ICICI,3,3
26,8,2016-01-20,-495.43,Transaction 26,Google_India,Delhi,8,ICICI,3,3
27,8,2016-01-21,520.79,Transaction 27,Google_India,Delhi,8,ICICI,3,3
28,8,2016-01-07,257.13,Transaction 28,Google_India,Delhi,8,ICICI,3,3
29,8,2016-01-02,475.13,Transaction 29,Google_India,Delhi,8,ICICI,3,3
30,8,2016-01-06,-955.17,Transaction 30,Google_India,Delhi,8,ICICI,3,3
31,8,2016-01-02,126.66,Transaction 31,Google_India,Delhi,8,ICICI,3,3
32,8,2016-01-05,-726.58,Transaction 32,Google_India,Delhi,8,ICICI,3,3
33,8,2016-01-29,545.77,Transaction 33,Google_India,Delhi,8,ICICI,3,3
34,8,2016-01-13,901.42,Transaction 34,Google_India,Delhi,8,ICICI,3,3
35,8,2016-01-06,-198.55,Transaction 35,Google_India,Delhi,8,ICICI,3,3
36,8,2016-01-08,84.19,Transaction 36,Google_India,Delhi,8,ICICI,3,3
37,8,2016-01-27,-547.37,Transaction 37,Google_India,Delhi,8,ICICI,3,3
38,8,2016-01-22,230.4,Transaction 38,Google_India,Delhi,8,ICICI,3,3
39,8,2016-01-19,364.95,Transaction 39,Google_India,Delhi,8,ICICI,3,3
40,8,2016-01-26,454.3,Transaction 40,Google_India,Delhi,8,ICICI,3,3
41,8,2016-01-10,496.36,Transaction 41,Google_India,Delhi,8,ICICI,3,3
42,8,2016-01-02,981.86,Transaction 42,Google_India,Delhi,8,ICICI,3,3
43,8,2016-01-12,-471.81,Transaction 43,Google_India,Delhi,8,ICICI,3,3
44,8,2016-01-17,-263.66,Transaction 44,Google_India,Delhi,8,ICICI,3,3
45,8,2016-01-08,780.67,Transaction 45,Google_India,Delhi,8,ICICI,3,3
46,8,2016-01-30,495.26,Transaction 46,Google_India,Delhi,8,ICICI,3,3
47,8,2016-01-09,-563.34,Transaction 47,Google_India,Delhi,8,ICICI,3,3
48,8,2016-01-20,654.48,Transaction 48,Google_India,Delhi,8,ICICI,3,3
49,8,2016-01-01,281.41,Transaction 49,Google_India,Delhi,8,ICICI,3,3
50,8,2016-01-08,496.52,Transaction 50,Google_India,Delhi,8,ICICI,3,3
51,8,2016-01-25,252.87,Transaction 51,Google_India,Delhi,8,ICICI,3,3
52,8,2016-01-15,-406.83,Transaction 52,Google_India,Delhi,8,ICICI,3,3
53,8,2016-01-18,-741.66,Transaction 53,Google_India,Delhi,8,ICICI,3,3
54,8,2016-01-11,668.56,Transaction 54,Google_India,Delhi,8,ICICI,3,3
55,8,2016-01-14,209.02,Transaction 55,Google_India,Delhi,8,ICICI,3,3
56,8,2016-01-17,138.75,Transaction 56,Google_India,Delhi,8,ICICI,3,3
57,8,2016-01-22,332.38,Transaction 57,Google_India,Delhi,8,ICICI,3,3
58,8,2016-01-26,789.22,Transaction 58,Google_India,Delhi,8,ICICI,3,3
59,8,2016-01-25,-88.97,Transaction 59,Google_India,Delhi,8,ICICI,3,3
60,8,2016-01-20,-989.19,Transaction 60,Google_India,Delhi,8,ICICI,3,3
61,8,2016-01-05,-720.04,Transaction 61,Google_India,Delhi,8,ICICI,3,3
62,8,2016-01-16,468.95,Transaction 62,Google_India,Delhi,8,ICICI,3,3
63,8,2016-01-01,-472.22,Transaction 63,Google_India,Delhi,8,ICICI,3,3
64,8,2016-01-01,-496.67,Transaction 64,Google_India,Delhi,8,ICICI,3,3
65,8,2016-01-16,266.05,Transaction 65,Google_India,Delhi,8,ICICI,3,3
66,8,2016-01-16,-173.15,Transaction 66,Google_India,Delhi,8,ICICI,3,3
67,8,2016-01-27,186.29,Transaction 67,Google_India,Delhi,8,ICICI,3,3
68,8,2016-01-29,-781.18,Transaction 68,Google_India,Delhi,8,ICICI,3,3
69,8,2016-01-02,700.95,Transaction 69,Google_India,Delhi,8,ICICI,3,3
70,8,2016-01-04,-662.56,Transaction 70,Google_India,Delhi,8,ICICI,3,3
71,8,2016-01-01,340.3,Transaction 71,Google_India,Delhi,8,ICICI,3,3
